date,HHI,CPI
2024-01-01,331.29,130.02
2024-01-02,333.43,130.46
2024-01-03,331.04,129.84
2024-01-04,331.64,86.55
2024-01-05,333.07,86.74
2024-01-06,332.95,86.7
2024-01-07,333.03,86.69
2024-01-08,333.38,86.75
2024-01-09,333.47,86.75
2024-01-10,333.22,86.69
2024-01-11,333.14,86.64
2024-01-12,333.1,86.59
2024-01-13,333.49,86.64
2024-01-14,333.37,86.62
2024-01-15,335.05,86.92
2024-01-16,335.19,86.93
2024-01-17,335.2,86.91
2024-01-18,362.69,86.72
2024-01-19,362.87,86.75
2024-01-20,363.43,86.81
2024-01-21,363.75,86.83
2024-01-22,363.62,86.79
2024-01-23,364.04,86.84
2024-01-24,363.88,86.82
2024-01-25,364.01,86.85
2024-01-26,362.09,86.56
2024-01-27,362.14,86.58
2024-01-28,363.37,86.73
2024-01-29,362.79,86.65
2024-01-30,362.97,86.65
2024-01-31,362.84,86.65
2024-02-01,363.32,86.71
2024-02-02,363.83,86.75
2024-02-03,364.19,86.79
2024-02-04,364.53,86.84
2024-02-05,364.08,86.79
2024-02-06,363.78,86.73
2024-02-07,363.97,86.73
2024-02-08,364.27,86.75
2024-02-09,364.68,86.8
2024-02-10,365.19,86.86
2024-02-11,365.78,86.93
2024-02-12,359.16,86.05
2024-02-13,358.93,86.04
2024-02-14,358.76,86.05
2024-02-15,359.12,86.08
2024-02-16,359.28,86.09
2024-02-17,359.46,86.11
2024-02-18,359.33,86.09
2024-02-19,359.98,86.16
2024-02-20,359.94,86.18
2024-02-21,358.73,86.03
2024-02-22,358.13,85.93
2024-02-23,358.22,85.93
2024-02-24,358.36,85.98
2024-02-25,358.52,86.0
2024-02-26,358.84,86.02
2024-02-27,358.23,85.97
2024-02-28,357.24,85.83
2024-02-29,357.25,85.83
2024-03-01,357.78,85.95
2024-03-02,358.29,86.02
2024-03-03,358.88,86.08
2024-03-04,359.15,86.1
2024-03-05,359.88,86.1
2024-03-06,359.69,86.14
2024-03-07,358.69,86.04
2024-03-08,359.71,86.19
2024-03-09,358.25,85.86
2024-03-10,358.7,85.91
2024-03-11,359.21,85.97
2024-03-12,359.03,85.95
2024-03-13,359.36,85.98
2024-03-14,359.03,85.92
2024-03-15,358.2,85.81
2024-03-16,357.95,85.73
2024-03-17,357.77,85.7
2024-03-18,357.56,85.65
2024-03-19,358.23,85.74
2024-03-20,357.76,85.68
2024-03-21,357.82,85.68
2024-03-22,357.41,85.63
2024-03-23,356.67,85.53
2024-03-24,356.82,85.58
2024-03-25,356.57,85.55
2024-03-26,355.31,85.45
2024-03-27,355.05,85.42
2024-03-28,354.55,85.33
2024-03-29,355.18,85.46
2024-03-30,355.49,85.5
2024-03-31,355.32,85.48
2024-04-01,359.36,86.0
2024-04-02,359.44,86.0
2024-04-03,359.65,85.99
2024-04-04,359.83,86.0
2024-04-05,360.38,86.06
2024-04-06,360.28,86.05
2024-04-07,360.32,86.05
2024-04-08,360.13,86.03
2024-04-09,360.25,86.03
2024-04-10,360.45,86.04
2024-04-11,360.45,86.05
2024-04-12,360.57,86.07
2024-04-13,360.4,86.02
2024-04-14,360.12,85.94
2024-04-15,359.9,85.91
2024-04-16,359.4,85.86
2024-04-17,360.15,85.96
2024-04-18,355.33,85.34
2024-04-19,355.16,85.29
2024-04-20,354.47,85.2
2024-04-21,354.51,85.2
2024-04-22,354.78,85.22
2024-04-23,353.7,85.07
2024-04-24,353.66,85.07
2024-04-25,353.71,85.08
2024-04-26,353.66,85.07
2024-04-27,353.26,85.01
2024-04-28,352.8,84.95
2024-04-29,352.21,84.79
2024-04-30,342.47,83.51
2024-05-01,342.03,83.43
2024-05-02,341.99,83.45
2024-05-03,341.83,83.43
2024-05-04,341.79,83.41
2024-05-05,342.44,83.5
2024-05-06,342.12,83.46
2024-05-07,341.51,83.38
2024-05-08,341.02,83.32
2024-05-09,341.29,83.35
2024-05-10,343.67,83.66
2024-05-11,343.92,83.64
2024-05-12,344.12,83.66
2024-05-13,344.05,83.63
2024-05-14,344.01,83.61
2024-05-15,342.7,83.48
2024-05-16,342.49,83.48
2024-05-17,340.23,83.25
2024-05-18,340.73,83.36
2024-05-19,340.83,83.38
2024-05-20,340.99,83.41
2024-05-21,339.77,83.17
2024-05-22,328.72,81.85
2024-05-23,328.44,81.81
2024-05-24,328.57,81.82
2024-05-25,328.82,81.84
2024-05-26,328.6,81.84
2024-05-27,328.14,81.77
2024-05-28,332.7,82.39
2024-05-29,332.5,82.36
2024-05-30,332.47,82.36
2024-05-31,332.61,82.37
2024-06-01,332.26,82.33
2024-06-02,332.59,82.35
2024-06-03,332.25,66.22
2024-06-04,332.05,66.21
2024-06-05,331.9,66.06
2024-06-06,332.82,66.24
2024-06-07,331.04,66.13
2024-06-08,330.62,66.06
2024-06-09,330.47,66.05
2024-06-10,330.58,66.05
2024-06-11,330.3,66.02
2024-06-12,331.17,66.14
2024-06-13,330.49,66.06
2024-06-14,330.54,66.07
2024-06-15,330.89,66.1
2024-06-16,331.06,66.11
2024-06-17,330.17,66.02
2024-06-18,333.68,66.43
2024-06-19,332.96,66.35
2024-06-20,332.68,66.29
2024-06-21,332.54,66.29
2024-06-22,333.37,66.37
2024-06-23,333.16,66.34
2024-06-24,342.84,67.58
2024-06-25,343.23,67.67
2024-06-26,342.86,67.61
2024-06-27,343.32,109.18
2024-06-28,343.29,109.18
2024-06-29,343.33,109.18
2024-06-30,342.9,109.1
2024-07-01,343.37,109.21
2024-07-02,343.57,109.22
2024-07-03,342.82,109.04
2024-07-04,343.34,109.16
2024-07-05,344.59,109.48
2024-07-06,344.79,109.5
2024-07-07,345.1,109.6
2024-07-08,345.13,109.6
2024-07-09,344.35,109.44
2024-07-10,344.36,109.42
2024-07-11,344.46,109.44
2024-07-12,321.81,104.13
2024-07-13,329.19,105.81
2024-07-14,329.26,105.82
2024-07-15,329.71,105.94
2024-07-16,328.89,105.8
2024-07-17,328.62,105.77
2024-07-18,328.65,105.77
2024-07-19,328.94,105.84
2024-07-20,329.05,105.84
2024-07-21,329.49,105.94
2024-07-22,327.35,105.52
2024-07-23,327.08,105.44
2024-07-24,327.37,105.5
2024-07-25,327.6,105.56
2024-07-26,327.74,105.6
2024-07-27,327.35,105.51
2024-07-28,328.36,105.73
2024-07-29,326.17,105.2
2024-07-30,326.28,105.25
2024-07-31,326.13,105.25
2024-08-01,325.43,105.08
2024-08-02,326.87,105.43
2024-08-03,326.7,105.38
2024-08-04,328.95,105.92
2024-08-05,328.62,105.84
2024-08-06,329.91,106.15
2024-08-07,328.66,105.82
2024-08-08,328.13,105.67
2024-08-09,326.68,105.38
2024-08-10,326.8,105.41
2024-08-11,326.7,105.39
2024-08-12,326.59,105.35
2024-08-13,326.47,105.3
2024-08-14,327.23,105.49
2024-08-15,327.24,105.49
2024-08-16,327.23,105.49
2024-08-17,327.12,105.47
2024-08-18,327.14,105.47
2024-08-19,321.12,103.96
2024-08-20,321.15,103.96
2024-08-21,321.17,103.98
2024-08-22,330.16,106.33
2024-08-23,330.42,106.39
2024-08-24,329.16,106.09
2024-08-25,329.19,106.1
2024-08-26,328.82,106.01
2024-08-27,328.95,106.04
